item_name,item,section,item_label
StartDate,Start Date,Start Date,Start Date
EndDate,End Date,End Date,End Date
Status,Response Type,Response Type,Response Type
IPAddress,IP Address,IP Address,IP Address
Progress,Progress,Progress,Progress
Duration (in seconds),Duration (in seconds),Duration (in seconds),Duration (in seconds)
Finished,Finished,Finished,Finished
RecordedDate,Recorded Date,Recorded Date,Recorded Date
ResponseId,Response ID,Response ID,Response ID
RecipientLastName,Recipient Last Name,Recipient Last Name,Recipient Last Name
RecipientFirstName,Recipient First Name,Recipient First Name,Recipient First Name
RecipientEmail,Recipient Email,Recipient Email,Recipient Email
ExternalReference,External Data Reference,External Data Reference,External Data Reference
LocationLatitude,Location Latitude,Location Latitude,Location Latitude
LocationLongitude,Location Longitude,Location Longitude,Location Longitude
DistributionChannel,Distribution Channel,Distribution Channel,Distribution Channel
UserLanguage,User Language,User Language,User Language
Q1,Are you 18 years old or older?,Are you 18 years old or older?,Are you 18 years old or older?
Q2,Please identify the institution at which you are a student.,Please identify the institution at which you are a student.,Please identify the institution at which you are a student.
Q4_1,Methadone,Please mark your knowledge of the following treatments for opioid use disorder (i.e. opioid addiction).,Please mark your knowledge of the following treatments for opioid use disorder (i.e. opioid addiction). - Methadone
Q4_2,"Oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail)",Please mark your knowledge of the following treatments for opioid use disorder (i.e. opioid addiction).,"Please mark your knowledge of the following treatments for opioid use disorder (i.e. opioid addiction). - Oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail)"
Q4_3,Extended-release naltrexone (e.g. Vivitrol),Please mark your knowledge of the following treatments for opioid use disorder (i.e. opioid addiction).,Please mark your knowledge of the following treatments for opioid use disorder (i.e. opioid addiction). - Extended-release naltrexone (e.g. Vivitrol)
Q4_4,"Peer support groups (e.g. Alcoholics Anonymous, Narcotics Anonymous)",Please mark your knowledge of the following treatments for opioid use disorder (i.e. opioid addiction).,"Please mark your knowledge of the following treatments for opioid use disorder (i.e. opioid addiction). - Peer support groups (e.g. Alcoholics Anonymous, Narcotics Anonymous)"
Q4_5,Individual counseling,Please mark your knowledge of the following treatments for opioid use disorder (i.e. opioid addiction).,Please mark your knowledge of the following treatments for opioid use disorder (i.e. opioid addiction). - Individual counseling
Q4_6,Group counseling,Please mark your knowledge of the following treatments for opioid use disorder (i.e. opioid addiction).,Please mark your knowledge of the following treatments for opioid use disorder (i.e. opioid addiction). - Group counseling
Q4_7,Outpatient treatment (e.g. at a clinic),Please mark your knowledge of the following treatments for opioid use disorder (i.e. opioid addiction).,Please mark your knowledge of the following treatments for opioid use disorder (i.e. opioid addiction). - Outpatient treatment (e.g. at a clinic)
Q4_8,Residential treatment (e.g. at a rehab center),Please mark your knowledge of the following treatments for opioid use disorder (i.e. opioid addiction).,Please mark your knowledge of the following treatments for opioid use disorder (i.e. opioid addiction). - Residential treatment (e.g. at a rehab center)
Q4_9,Inpatient treatment (e.g. at a hospital),Please mark your knowledge of the following treatments for opioid use disorder (i.e. opioid addiction).,Please mark your knowledge of the following treatments for opioid use disorder (i.e. opioid addiction). - Inpatient treatment (e.g. at a hospital)
Q5,Please mark any treatments that you or someone you are close to has participated in for opioid use disorder (i.e. opioid addiction). Mark all that apply.,Please mark any treatments that you or someone you are close to has participated in for opioid use disorder (i.e. opioid addiction). Mark all that apply.,Please mark any treatments that you or someone you are close to has participated in for opioid use disorder (i.e. opioid addiction). Mark all that apply.
Q6_1,Methadone,Please select the extent to which you believe each of the following treatments helps individuals with opioid use disorder (i.e. opioid addiction) stop using opioids.,Please select the extent to which you believe each of the following treatments helps individuals with opioid use disorder (i.e. opioid addiction) stop using opioids. - Methadone
Q6_2,"Oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail)",Please select the extent to which you believe each of the following treatments helps individuals with opioid use disorder (i.e. opioid addiction) stop using opioids.,"Please select the extent to which you believe each of the following treatments helps individuals with opioid use disorder (i.e. opioid addiction) stop using opioids. - Oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail)"
Q6_3,Extended-release naltrexone (e.g. Vivitrol),Please select the extent to which you believe each of the following treatments helps individuals with opioid use disorder (i.e. opioid addiction) stop using opioids.,Please select the extent to which you believe each of the following treatments helps individuals with opioid use disorder (i.e. opioid addiction) stop using opioids. - Extended-release naltrexone (e.g. Vivitrol)
Q6_4,"Peer support groups (e.g. Alcoholics Anonymous, Narcotics Anonymous)",Please select the extent to which you believe each of the following treatments helps individuals with opioid use disorder (i.e. opioid addiction) stop using opioids.,"Please select the extent to which you believe each of the following treatments helps individuals with opioid use disorder (i.e. opioid addiction) stop using opioids. - Peer support groups (e.g. Alcoholics Anonymous, Narcotics Anonymous)"
Q6_5,Individual counseling,Please select the extent to which you believe each of the following treatments helps individuals with opioid use disorder (i.e. opioid addiction) stop using opioids.,Please select the extent to which you believe each of the following treatments helps individuals with opioid use disorder (i.e. opioid addiction) stop using opioids. - Individual counseling
Q6_6,Group counseling,Please select the extent to which you believe each of the following treatments helps individuals with opioid use disorder (i.e. opioid addiction) stop using opioids.,Please select the extent to which you believe each of the following treatments helps individuals with opioid use disorder (i.e. opioid addiction) stop using opioids. - Group counseling
Q6_7,Outpatient treatment (e.g. at a clinic),Please select the extent to which you believe each of the following treatments helps individuals with opioid use disorder (i.e. opioid addiction) stop using opioids.,Please select the extent to which you believe each of the following treatments helps individuals with opioid use disorder (i.e. opioid addiction) stop using opioids. - Outpatient treatment (e.g. at a clinic)
Q6_8,Residential treatment (e.g. at a rehab center),Please select the extent to which you believe each of the following treatments helps individuals with opioid use disorder (i.e. opioid addiction) stop using opioids.,Please select the extent to which you believe each of the following treatments helps individuals with opioid use disorder (i.e. opioid addiction) stop using opioids. - Residential treatment (e.g. at a rehab center)
Q6_9,Inpatient treatment (e.g. at a hospital),Please select the extent to which you believe each of the following treatments helps individuals with opioid use disorder (i.e. opioid addiction) stop using opioids.,Please select the extent to which you believe each of the following treatments helps individuals with opioid use disorder (i.e. opioid addiction) stop using opioids. - Inpatient treatment (e.g. at a hospital)
Q7_1,Treatment with methadone is replacing one addiction with another,Please mark the extent to which you agree with the following statements about methadone.,Please mark the extent to which you agree with the following statements about methadone. - Treatment with methadone is replacing one addiction with another
Q7_2,Treatment with methadone is safe,Please mark the extent to which you agree with the following statements about methadone.,Please mark the extent to which you agree with the following statements about methadone. - Treatment with methadone is safe
Q7_3,Methadone has dangerous side effects,Please mark the extent to which you agree with the following statements about methadone.,Please mark the extent to which you agree with the following statements about methadone. - Methadone has dangerous side effects
Q7_4,People in methadone treatment are not actually in recovery,Please mark the extent to which you agree with the following statements about methadone.,Please mark the extent to which you agree with the following statements about methadone. - People in methadone treatment are not actually in recovery
Q7_5,Treatment with methadone is bad for you physically,Please mark the extent to which you agree with the following statements about methadone.,Please mark the extent to which you agree with the following statements about methadone. - Treatment with methadone is bad for you physically
Q7_6,Most people in methadone treatment use it to “get high”,Please mark the extent to which you agree with the following statements about methadone.,Please mark the extent to which you agree with the following statements about methadone. - Most people in methadone treatment use it to “get high”
Q7_7,Methadone helps prevent cravings for opioids,Please mark the extent to which you agree with the following statements about methadone.,Please mark the extent to which you agree with the following statements about methadone. - Methadone helps prevent cravings for opioids
Q7_8,Methadone helps prevent individuals from getting high,Please mark the extent to which you agree with the following statements about methadone.,Please mark the extent to which you agree with the following statements about methadone. - Methadone helps prevent individuals from getting high
Q8_1,Treatment with oral buprenorphine is replacing one addiction with another,"Please mark the extent to which you agree with the following statements about oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail).","Please mark the extent to which you agree with the following statements about oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail). - Treatment with oral buprenorphine is replacing one addiction with another"
Q8_2,Treatment with oral buprenorphine  is safe,"Please mark the extent to which you agree with the following statements about oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail).","Please mark the extent to which you agree with the following statements about oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail). - Treatment with oral buprenorphine  is safe"
Q8_3,Oral buprenorphine  has dangerous side effects,"Please mark the extent to which you agree with the following statements about oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail).","Please mark the extent to which you agree with the following statements about oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail). - Oral buprenorphine  has dangerous side effects"
Q8_4,People in oral buprenorphine  treatment are not actually in recovery,"Please mark the extent to which you agree with the following statements about oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail).","Please mark the extent to which you agree with the following statements about oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail). - People in oral buprenorphine  treatment are not actually in recovery"
Q8_5,Treatment with oral buprenorphine  is bad for you physically,"Please mark the extent to which you agree with the following statements about oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail).","Please mark the extent to which you agree with the following statements about oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail). - Treatment with oral buprenorphine  is bad for you physically"
Q8_6,Most people in oral buprenorphine  treatment use it to “get high”,"Please mark the extent to which you agree with the following statements about oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail).","Please mark the extent to which you agree with the following statements about oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail). - Most people in oral buprenorphine  treatment use it to “get high”"
Q8_7,Oral buprenorphine  helps prevent cravings for opioids,"Please mark the extent to which you agree with the following statements about oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail).","Please mark the extent to which you agree with the following statements about oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail). - Oral buprenorphine  helps prevent cravings for opioids"
Q8_8,Oral buprenorphine  helps prevent individuals from getting high,"Please mark the extent to which you agree with the following statements about oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail).","Please mark the extent to which you agree with the following statements about oral buprenorphine (e.g. Suboxone, Subutex, Zubsolv, Bunavail). - Oral buprenorphine  helps prevent individuals from getting high"
Q9_1,Treatment with extended-release naltrexone is replacing one addiction with another,Please mark the extent to which you agree with the following statements about extended-release naltrexone (e.g. Vivitrol).,Please mark the extent to which you agree with the following statements about extended-release naltrexone (e.g. Vivitrol). - Treatment with extended-release naltrexone is replacing one addiction with another
Q9_2,Treatment with extended-release naltrexone  is safe,Please mark the extent to which you agree with the following statements about extended-release naltrexone (e.g. Vivitrol).,Please mark the extent to which you agree with the following statements about extended-release naltrexone (e.g. Vivitrol). - Treatment with extended-release naltrexone  is safe
Q9_3,Extended-release naltrexone  has dangerous side effects,Please mark the extent to which you agree with the following statements about extended-release naltrexone (e.g. Vivitrol).,Please mark the extent to which you agree with the following statements about extended-release naltrexone (e.g. Vivitrol). - Extended-release naltrexone  has dangerous side effects
Q9_4,People in extended-release naltrexone treatment are not actually in recovery,Please mark the extent to which you agree with the following statements about extended-release naltrexone (e.g. Vivitrol).,Please mark the extent to which you agree with the following statements about extended-release naltrexone (e.g. Vivitrol). - People in extended-release naltrexone treatment are not actually in recovery
Q9_5,Treatment with extended-release naltrexone is bad for you physically,Please mark the extent to which you agree with the following statements about extended-release naltrexone (e.g. Vivitrol).,Please mark the extent to which you agree with the following statements about extended-release naltrexone (e.g. Vivitrol). - Treatment with extended-release naltrexone is bad for you physically
Q9_6,Most people in extended-release naltrexone treatment use it to “get high”,Please mark the extent to which you agree with the following statements about extended-release naltrexone (e.g. Vivitrol).,Please mark the extent to which you agree with the following statements about extended-release naltrexone (e.g. Vivitrol). - Most people in extended-release naltrexone treatment use it to “get high”
Q9_7,Extended-release naltrexone  helps prevent cravings for opioids,Please mark the extent to which you agree with the following statements about extended-release naltrexone (e.g. Vivitrol).,Please mark the extent to which you agree with the following statements about extended-release naltrexone (e.g. Vivitrol). - Extended-release naltrexone  helps prevent cravings for opioids
Q9_8,Extended-release naltrexone  helps prevent individuals from getting high,Please mark the extent to which you agree with the following statements about extended-release naltrexone (e.g. Vivitrol).,Please mark the extent to which you agree with the following statements about extended-release naltrexone (e.g. Vivitrol). - Extended-release naltrexone  helps prevent individuals from getting high
Q10_1,People with an opioid use disorder need to accept lack of control over their addiction while placing trust in a higher power,Please mark the extent to which you agree with each of the following statements about opioid use disorder (i.e. opioid addiction).,Please mark the extent to which you agree with each of the following statements about opioid use disorder (i.e. opioid addiction). - People with an opioid use disorder need to accept lack of control over their addiction while placing trust in a higher power
Q10_2,People with an opioid use disorder need to reach out to others in recovery,Please mark the extent to which you agree with each of the following statements about opioid use disorder (i.e. opioid addiction).,Please mark the extent to which you agree with each of the following statements about opioid use disorder (i.e. opioid addiction). - People with an opioid use disorder need to reach out to others in recovery
Q10_3,Opioid use disorder treatment should include a 12-step program (e.g. Alcoholics Anonymous or Narcotics Anonymous),Please mark the extent to which you agree with each of the following statements about opioid use disorder (i.e. opioid addiction).,Please mark the extent to which you agree with each of the following statements about opioid use disorder (i.e. opioid addiction). - Opioid use disorder treatment should include a 12-step program (e.g. Alcoholics Anonymous or Narcotics Anonymous)
Q11_1,Heroin,"In your opinion, how common is misuse of each of the following substances by students on campus? Misuse includes using a medication in a different manner or dose than it is prescribed, or using a medication prescribed to someone else.","In your opinion, how common is misuse of each of the following substances by students on campus? Misuse includes using a medication in a different manner or dose than it is prescribed, or using a medication prescribed to someone else. - Heroin"
Q11_2,Fentanyl,"In your opinion, how common is misuse of each of the following substances by students on campus? Misuse includes using a medication in a different manner or dose than it is prescribed, or using a medication prescribed to someone else.","In your opinion, how common is misuse of each of the following substances by students on campus? Misuse includes using a medication in a different manner or dose than it is prescribed, or using a medication prescribed to someone else. - Fentanyl"
Q11_3,"Prescription opioids (e.g. oxycodone, Oxycontin, Lortab, hydrocodone, Percocet)","In your opinion, how common is misuse of each of the following substances by students on campus? Misuse includes using a medication in a different manner or dose than it is prescribed, or using a medication prescribed to someone else.","In your opinion, how common is misuse of each of the following substances by students on campus? Misuse includes using a medication in a different manner or dose than it is prescribed, or using a medication prescribed to someone else. - Prescription opioids (e.g. oxycodone, Oxycontin, Lortab, hydrocodone, Percocet)"
Q12_1,Heroin,"In your opinion, how common is addiction to/dependence on each of the following substances by students on campus? Addiction or dependence is compulsive use of a substance despite negative consequences.","In your opinion, how common is addiction to/dependence on each of the following substances by students on campus? Addiction or dependence is compulsive use of a substance despite negative consequences. - Heroin"
Q12_2,Fentanyl,"In your opinion, how common is addiction to/dependence on each of the following substances by students on campus? Addiction or dependence is compulsive use of a substance despite negative consequences.","In your opinion, how common is addiction to/dependence on each of the following substances by students on campus? Addiction or dependence is compulsive use of a substance despite negative consequences. - Fentanyl"
Q12_3,"Prescription opioids (e.g. oxycodone, Oxycontin, Lortab, hydrocodone, Percocet)","In your opinion, how common is addiction to/dependence on each of the following substances by students on campus? Addiction or dependence is compulsive use of a substance despite negative consequences.","In your opinion, how common is addiction to/dependence on each of the following substances by students on campus? Addiction or dependence is compulsive use of a substance despite negative consequences. - Prescription opioids (e.g. oxycodone, Oxycontin, Lortab, hydrocodone, Percocet)"
Q13_1,Behavioral health services at the UCF Health Center,How knowledgeable are you about the following campus resources at the University of Central Florida?,How knowledgeable are you about the following campus resources at the University of Central Florida? - Behavioral health services at the UCF Health Center
Q13_2,Collegiate Recovery Program,How knowledgeable are you about the following campus resources at the University of Central Florida?,How knowledgeable are you about the following campus resources at the University of Central Florida? - Collegiate Recovery Program
Q14_1,OASIS,How knowledgeable are you about the following campus resources at Indiana University-Bloomington?,How knowledgeable are you about the following campus resources at Indiana University-Bloomington? - OASIS
Q14_2,Counseling & Psychological Services at the Student Health Center,How knowledgeable are you about the following campus resources at Indiana University-Bloomington?,How knowledgeable are you about the following campus resources at Indiana University-Bloomington? - Counseling & Psychological Services at the Student Health Center
Q15_1,Needle and syringe distribution to drug users,To what extent do you support each of the following policies?,To what extent do you support each of the following policies? - Needle and syringe distribution to drug users
Q15_2,Naloxone/Narcan (opioid overdose reversal medication) distribution to opioid users,To what extent do you support each of the following policies?,To what extent do you support each of the following policies? - Naloxone/Narcan (opioid overdose reversal medication) distribution to opioid users
Q15_3,Sites where opioid users can safely inject under medical supervision,To what extent do you support each of the following policies?,To what extent do you support each of the following policies? - Sites where opioid users can safely inject under medical supervision
Q15_4,Heroin maintenance (prescription of heroin to users who do not do well with other treatments),To what extent do you support each of the following policies?,To what extent do you support each of the following policies? - Heroin maintenance (prescription of heroin to users who do not do well with other treatments)
Q15_5,Decriminalization of heroin (i.e. possessing small amounts does not cause jail/prison time),To what extent do you support each of the following policies?,To what extent do you support each of the following policies? - Decriminalization of heroin (i.e. possessing small amounts does not cause jail/prison time)
Q15_6,Legal drug content testing (e.g. sites where drug users can check drug content for dangerous mix-ins before using),To what extent do you support each of the following policies?,To what extent do you support each of the following policies? - Legal drug content testing (e.g. sites where drug users can check drug content for dangerous mix-ins before using)
Q15_7,Good Samaritan laws (e.g. no criminal prosecution for assisting someone who needs emergency medical help during an opioid overdose),To what extent do you support each of the following policies?,To what extent do you support each of the following policies? - Good Samaritan laws (e.g. no criminal prosecution for assisting someone who needs emergency medical help during an opioid overdose)
Q16,What is your class standing?,What is your class standing?,What is your class standing?
Q17,What is your age?,What is your age?,What is your age?
Q18,What best describes your race/ethnicity? Mark all that apply.,What best describes your race/ethnicity? Mark all that apply.,What best describes your race/ethnicity? Mark all that apply.
Q19,What best describes your gender?,What best describes your gender?,What best describes your gender?
Q20,What best describes your political leanings?,What best describes your political leanings?,What best describes your political leanings?
Q21,How important is religion or spirituality to you?,How important is religion or spirituality to you?,How important is religion or spirituality to you?
Q22,Mark all that apply to you.,Mark all that apply to you.,Mark all that apply to you.
Q23,Which of the following best describe(s) your primary field of study (pick up to two only)?,Which of the following best describe(s) your primary field of study (pick up to two only)?,Which of the following best describe(s) your primary field of study (pick up to two only)?
